Species;Macroclimate;BIO1;BIO2;BIO3;BIO4;BIO5;BIO6;BIO7;BIO8;BIO9;BIO10;BIO11;BIO12;BIO13;BIO14;BIO15;BIO16;BIO17;BIO18;BIO19;"""bio20"""
ilex;Mediterranean;139.9770831;84.63684867;33.12678356;5971.276357;277.6713911;26.06053978;251.610852;120.4996462;178.5141044;217.3007422;65.76794444;721.6116411;100.4991696;26.85300889;43.796278;271.7787996;97.15522089;130.6074796;215.1019358;174.6235787
infectoria ;Mediterranean;138.68376;109.5175453;33.44888842;7723.40649;316.3858263;-9.733277368;326.1191047;65.98966737;234.8254616;236.3248516;39.53542211;586.6060668;106.3891874;6.076107368;68.47962421;283.5376305;24.75358474;31.04117211;266.0392389;258.7840458
insignis;Winter-dry temperate to Tropical;199.7471181;101.3252624;73.12495286;936.9077157;269.2609274;131.18721;138.0737176;202.5897188;196.8315564;210.2406167;186.6145833;2227.61147;377.7679371;29.71499143;63.33785643;960.0622164;116.4463207;509.0856602;334.6126657;843.6158957
ithaburensis;Mediterranean;181.5959956;102.4947286;40.01187704;5675.983586;313.4763494;60.52279521;252.9535539;114.5533786;248.7127011;250.4876761;108.3554727;591.798297;142.9677624;1.064435775;101.6023661;369.1677549;5.041988732;6.722128732;352.1006914;364.1257662
lanata;Winter-dry temperate to Tropical;146.6646832;107.9145584;46.3367628;4495.811383;251.3063444;13.2218728;238.0844716;192.4338668;95.7830352;197.6177664;83.6359104;1520.831315;338.9161004;8.547982;92.285378;890.0258152;50.3848496;751.1852412;72.9687756;839.6409656
lancifolia;Winter-dry temperate to Tropical;192.6151039;115.6024223;72.51710129;1127.956199;270.0618676;110.8296239;159.2322439;198.3516951;183.4168326;204.6774511;176.2221066;2048.348491;359.1555519;26.08696329;73.41538;934.13707;96.11372886;542.1783269;188.2697284;838.0233411
laurifolia;Warm Temperate;212.353256;120.8230521;48.15872041;4814.491913;327.2165903;77.13130342;250.0852868;268.6600358;173.1126052;269.417156;147.1859097;1310.654933;197.0828197;52.50304932;46.19749699;543.7434558;187.2942896;527.504723;227.2143399;356.4491662
laurina;Winter-dry temperate to Tropical;163.4683134;138.0258713;66.47986622;1927.577259;264.1574028;56.81880983;207.3385922;176.6340109;146.0792956;185.0589332;136.2837772;1100.354405;230.8766873;10.98364269;87.54433924;604.1186036;41.79234849;338.4466204;57.27566336;562.3262551
leucotrichophora;Winter-dry temperate to Tropical;160.4261962;102.4822171;40.36837762;5078.681811;281.4792338;28.40050238;253.0787329;204.821609;113.2566124;216.1031571;88.25626095;1688.484446;442.3952357;8.470197619;97.60418048;1092.723563;67.65978333;831.6159305;107.2134681;1025.06378
libani;Mediterranean;115.8715874;106.316449;32.66021161;7561.60289;286.6950697;-32.41426516;319.1093335;42.03292452;202.3391029;209.8507442;17.33558774;713.7089116;140.6696813;4.40962129;79.5082671;381.1740848;16.85284516;22.18990161;359.3161035;364.3212396
lobata;Mediterranean;146.151672;142.8088716;48.56249907;5365.723525;314.5816545;20.60517093;293.9764835;83.08552812;213.7227343;215.6540623;80.77533754;688.5480987;137.8236283;1.494853611;85.44059567;362.1446788;11.06408815;15.40908401;358.3822407;351.0805907
longispica;Winter-dry temperate to Tropical;104.6652115;110.7329477;40.51647538;5781.329711;227.6816869;-46.93580769;274.6174962;168.77999;29.52437769;174.3096762;26.27009692;1018.383069;205.4802862;10.97621615;82.69768231;542.02463;42.47277538;532.4201631;45.93356923;499.5518546
macranthera;Cold Temperate;75.13242;110.1056127;32.69120556;7729.835925;252.1784873;-80.50258578;332.6810742;102.2625162;50.804834;171.2644856;-25.95021133;613.1785922;94.58089222;21.79454111;43.62155356;244.7991102;75.41544422;149.3796424;112.3168782;169.383666
macrocarpa;Cold Temperate;66.90232241;138.66175;32.58592167;9662.368145;287.9166224;-132.25154;420.1681626;141.2288148;-52.3471137;192.0201002;-57.20923741;513.4257796;85.92574556;17.27097574;54.21650259;224.3905941;58.694115;182.3825515;66.98782574;165.6964791
